university,country,city,language,meal_inexpensive_restaurant,water,cigarettes,monthly_pass,taxi,basic,internet,cinema,appartment_centre,appartment_outside_centre,beer_restaurant,beer_market,fruits,vegetables,location,latitude,longitude
Warsaw University of Technology,Poland,Warsaw,English,7.78,0.52,4.0,24.44,0.67,201.12,13.34,6.66,778.49,592.63,3.0,1.17,1.48,0.745,"(52.2319581, 21.0067249)",52.2319581,21.0067249
Warsaw School of Computer Science,Poland,Warsaw,English,7.78,0.52,4.0,24.44,0.67,201.12,13.34,6.66,778.49,592.63,3.0,1.17,1.48,0.745,"(52.2319581, 21.0067249)",52.2319581,21.0067249
University of Warsaw,Poland,Warsaw,English,7.78,0.52,4.0,24.44,0.67,201.12,13.34,6.66,778.49,592.63,3.0,1.17,1.48,0.745,"(52.2319581, 21.0067249)",52.2319581,21.0067249
Warsaw School of Economics (SGH),Poland,Warsaw,English,7.78,0.52,4.0,24.44,0.67,201.12,13.34,6.66,778.49,592.63,3.0,1.17,1.48,0.745,"(52.2319581, 21.0067249)",52.2319581,21.0067249
Vistula University,Poland,Warsaw,English,7.78,0.52,4.0,24.44,0.67,201.12,13.34,6.66,778.49,592.63,3.0,1.17,1.48,0.745,"(52.2319581, 21.0067249)",52.2319581,21.0067249
University of Silesia in Katowice,Poland,Katowice,English,6.66,0.52,3.88,34.32,0.56,224.87,14.14,5.55,434.77,365.24,2.22,0.825,1.6675,0.7,"(50.2598987, 19.0215852)",50.2598987,19.0215852
UTP University of Science and Technology in Bydgoszcz,Poland,Bydgoszcz,English,7.78,0.45,4.44,25.55,0.64,288.77,14.0,5.89,460.46,407.54,3.165,1.22,1.4075,0.6599999999999999,"(53.1219648, 18.0002529)",53.1219648,18.0002529
Wroclaw University of Science and Technology,Poland,Wroclaw,English,7.78,0.49,4.0,24.44,0.67,205.19,12.91,5.55,599.93,496.57,2.7249999999999996,1.04,1.46,0.745,"(51.1089776, 17.0326689)",51.1089776,17.0326689
University of Wroclaw,Poland,Wroclaw,English,7.78,0.49,4.0,24.44,0.67,205.19,12.91,5.55,599.93,496.57,2.7249999999999996,1.04,1.46,0.745,"(51.1089776, 17.0326689)",51.1089776,17.0326689
Lublin University of Technology,Poland,Lublin,English,6.22,0.46,3.78,26.44,0.44,162.91,12.85,5.55,445.64,428.97,2.0,0.905,1.3699999999999999,0.715,"(51.250559, 22.5701022)",51.250559,22.5701022
Czestochowa University of Technology,Poland,Czestochowa,English,5.55,0.44,3.67,22.22,0.44,177.72,14.07,5.32,344.33,299.9,1.83,0.85,1.4925000000000002,0.675,"(50.8120466, 19.113213)",50.8120466,19.113213
University of Lodz,Poland,Lodz,English,5.55,0.48,4.0,27.99,0.53,190.77,13.09,6.44,446.82,395.94,2.0,1.005,1.29,0.675,"(51.7687323, 19.4569911)",51.7687323,19.4569911
University of Bergen,Norway,Bergen,English,18.6,2.1,14.68,75.9,0.9,263.15,49.01,14.07,1059.81,839.47,9.045,3.65,2.9575,2.21,"(60.3943055, 5.3259192)",60.3943055,5.3259192
