university,city,country,meal_inexpensive_restaurant,water,cigarettes,monthly_pass,taxi,basic,internet,cinema,appartment_centre,appartment_outside_centre,beer_restaurant,beer_market,fruits,vegetables,latitude,longitude
Autonomous University of Barcelona,Barcelona,Spain,14.54,0.8,5.19,41.55,2.08,168.41,39.57,9.35,1075.89,840.13,3.38,1.42,2.02,1.44,41.3828939,2.1774322
Bielefeld University,Bielefeld,Germany,10.39,0.67,7.27,88.81,2.08,300.31,30.29,12.46,581.67,772.53,3.635,1.03,1.915,1.34,52.0191005,8.531007
Binghamton University,Johnson City,United States,15,1.66,6.2,,,211.7,55,10,1000,600,4.5,2.145,3.8975,2.465,36.3134398,-82.3534728
Colorado State University,Fort Collins,United States,14.25,2.43,8.76,25,1.4,152.26,59.98,10,1426.67,1317.33,5,3.7,4.02,2.48,40.5508527,-105.0668085
Federal University of Minas Gerais,Belo Horizonte,Brazil,4.1,0.57,1.86,31.86,1.21,68.88,18.93,5.59,262.43,179.89,1.91,1.605,1.06,0.78,-19.9225776,-43.9451356
Heriot-Watt University,Edinburgh,United Kingdom,18.02,1.25,14.41,72.07,1.71,200.72,33.57,10.21,1121.19,877.43,5.41,2.04,2.13,1.075,55.9533456,-3.1883749
Kyushu University,Fukuoka,Japan,7.07,0.87,4.04,72.19,1.8,192.32,35.81,14.44,487.29,286.81,3.645,2.08,4.6925,3.37,33.6251241,130.6180016
Leibniz University Hannover,Hannover,Germany,10.39,0.49,8.3,72.71,2.05,228.02,31.81,12.46,744.4,523.24,4.54,1.18,2.0775,1.34,52.3744779,9.7385532
Maastricht University,Maastricht,Netherlands,15.06,0.62,8.31,51.93,2.18,323.27,44.14,10.39,1125.04,945.21,4.28,1.5,2.07,0.96,50.85798545,5.696988182
New Jersey Institute of Technology,Newark,United States,20,1.76,9.5,125.5,2.49,288.75,76.67,14,1733.33,1500,5.25,1.73,2.92,2.45,40.735657,-74.1723667
Pontifical Catholic University of Chile,Santiago,Chile,8.76,1.07,4.82,43.79,1.09,131.14,23.14,5.47,440.02,411.79,3.555,1.58,1.5775,1.14,-33.4377756,-70.6504502
Stevens Institute of Technology,Hoboken,United States,16,1.5,9.5,210,3.11,144.74,68.75,13.5,3300,2250,7,2.625,3.82,1.58,40.7433066,-74.0323752
Syracuse University,Syracuse,United States,13.5,1.37,13,50,1.99,133.75,77.33,13.5,1135,1000,4.5,2.58,3.4175,2.645,43.0481221,-76.1474244
University of Beira Interior,Covilha,Portugal,6.23,0.31,4.73,40.46,0.6,83.1,35.05,6.86,377.39,207.74,1.82,1.3,1.2275,0.84,40.2805658,-7.5043211
University of Bergen,Bergen,Norway,18.6,2.1,14.68,75.9,0.9,263.15,49.01,14.07,1059.81,839.47,9.045,3.65,2.9575,2.21,60.3943055,5.3259192
University of Bern,Bern,Switzerland,26.42,1.29,9.51,83.48,4.12,202.63,52.43,21.14,1254.92,995.8,6.34,1.975,3.6675,2.16,46.9482713,7.4514512
University of Essex,Colchester,United Kingdom,18.02,1.25,15.01,69.67,1.46,238.4,38.74,14.41,867.85,844.83,5.15,2.71,1.8425,1,51.8896903,0.8994651
University of Houston,Houston,United States,16.5,2.08,8,40,3.1,164.9,73.91,12,1590.76,1246.59,5.655,3.085,3.055,2.2,29.7589382,-95.3676974
University of Leeds,Leeds,United Kingdom,14.41,1.07,13.09,90.09,1.12,287.25,39.77,10.8,990.97,706.85,4.86,2.615,2.1675,1.265,53.7974185,-1.5437941
University of Liverpool,Liverpool,United Kingdom,18.02,1.25,14.41,83.56,1.12,213.91,37.15,12.01,900.15,653.14,5.09,2.355,2.2825,1.175,53.4071991,-2.99168
University of Oslo,Oslo,Norway,20.11,2.26,14.58,81.84,1.51,239.31,48.99,16.04,1405.05,1144.04,9.725,3.73,2.935,2.375,59.9133301,10.7389701
University of Tartu,Tartu,Estonia,10.39,0.7,4.8,23.37,0.62,213.58,27.19,8.07,457.03,370.04,4.15,1.675,1.7125,0.61,58.3801207,26.72245
University of York,York,United Kingdom,15.01,1.06,15.62,69.07,1.35,198.19,29.13,12.01,1313.79,840.07,5.405,1.775,2.45,1.395,53.9590555,-1.0815361
Victoria University of Wellington,Wellington,New Zealand,12.43,1.1,23.61,93.91,1.8,133.82,51.97,11.18,1371.29,1126.02,6.21,3.86,3.245,1.835,-41.2887953,174.7772114
